@RELATION emotions

@ATTRIBUTE pendMup1 NUMERIC
@ATTRIBUTE pendMdown1 NUMERIC
@ATTRIBUTE apertura NUMERIC
@ATTRIBUTE pendMEBL NUMERIC
@ATTRIBUTE pendEBR NUMERIC

%Atributo objetivo: Angry 
@ATTRIBUTE Angry NUMERIC

@DATA
0.06382978723404255,0.08695652173913043,1,0.11764705882352941,-0.12244897959183673,2.77
0.3,-0.21951219512195122,21,0.29545454545454547,-0.20833333333333334,2.42
0.39473684210526316,-0.48717948717948717,34,0.17391304347826086,-0.16666666666666666,2.16
0.358974358974359,-0.38461538461538464,29,0.32558139534883723,-0.20408163265306123,2.0
0.1111111111111111,0.08333333333333333,1,0.19607843137254902,-0.22916666666666666,4.58
0.07894736842105263,0.05263157894736842,1,0.18,-0.23404255319148937,4.06
0.17073170731707318,0.14285714285714285,1,0.20408163265306123,-0.22916666666666666,4.16
-0.1016949152542373,-0.4666666666666667,22,0.1702127659574468,-0.23255813953488372,1.1
-0.06896551724137931,-0.4067796610169492,20,0.2,-0.23809523809523808,1.03
-0.07142857142857142,-0.3333333333333333,15,0.1956521739130435,-0.22727272727272727,1.23
-0.06451612903225806,-0.5396825396825397,30,0.16326530612244897,-0.18604651162790697,1.1
0.0,0.0,0,0.12244897959183673,-0.14285714285714285,2.39
0.05405405405405406,0.0,2,0.13725490196078433,-0.14583333333333334,2.61
0.075,0.024390243902439025,2,0.08163265306122448,-0.15217391304347827,2.6
0.046511627906976744,0.0,2,0.11764705882352941,-0.061224489795918366,2.1
0.55,-0.7317073170731707,52,0.2127659574468085,-0.19148936170212766,1.65
0.6842105263157895,-0.6666666666666666,52,0.1875,-0.14,1.74
0.5609756097560976,-0.8048780487804879,56,0.1702127659574468,-0.1836734693877551,1.71
-0.05660377358490566,-0.4444444444444444,21,0.3191489361702128,-0.3191489361702128,4.68
-0.021739130434782608,-0.425531914893617,19,0.3191489361702128,-0.2391304347826087,4.13
-0.021739130434782608,-0.425531914893617,19,0.3,-0.2653061224489796,4.35
-0.16393442622950818,-0.4918032786885246,20,0.2127659574468085,-0.24444444444444444,1.1
-0.16666666666666666,-0.2727272727272727,6,0.2391304347826087,-0.2558139534883721,1.48
-0.1746031746031746,-0.484375,20,0.22448979591836735,-0.23404255319148937,1.19
-0.0784313725490196,-0.36538461538461536,15,0.19230769230769232,-0.16,2.13
-0.02040816326530612,-0.06,2,0.16,-0.12,1.77
-0.0196078431372549,-0.0784313725490196,3,0.16326530612244897,-0.14583333333333334,2.13
0.35714285714285715,-0.9523809523809523,55,0.2653061224489796,-0.24528301886792453,2.0
0.375,-0.925,52,0.22,-0.22641509433962265,1.81
0.3,-0.7755102040816326,53,0.24444444444444444,-0.32653061224489793,2.13
0.0,-0.47619047619047616,20,0.4583333333333333,-0.4146341463414634,4.45
-0.075,-0.19047619047619047,5,0.5,-0.41304347826086957,4.52
-0.07142857142857142,-0.23809523809523808,7,0.46808510638297873,-0.4418604651162791,4.48
-0.06779661016949153,-0.39344262295081966,20,0.40816326530612246,-0.40476190476190477,1.13
-0.07272727272727272,-0.42105263157894735,20,0.40816326530612246,-0.40476190476190477,1.23
-0.05357142857142857,-0.39655172413793105,20,0.425531914893617,-0.36585365853658536,1.32
0.0,-0.28888888888888886,13,0.30612244897959184,-0.38636363636363635,2.65
0.0,-0.4418604651162791,19,0.2765957446808511,-0.34146341463414637,3.0
-0.022222222222222223,-0.5,22,0.2857142857142857,-0.35714285714285715,3.48
-0.05172413793103448,-0.3333333333333333,17,0.5434782608695652,-0.40425531914893614,1.35
0.022222222222222223,-0.3829787234042553,19,0.5106382978723404,-0.4318181818181818,1.9
0.09523809523809523,-0.6046511627906976,30,0.4489795918367347,-0.4318181818181818,1.97
0.0,-0.07692307692307693,4,0.22,-0.24,2.16
0.044444444444444446,-0.2826086956521739,15,0.21153846153846154,-0.2549019607843137,2.71
0.17777777777777778,-0.2608695652173913,20,0.2692307692307692,-0.24528301886792453,3.17
-0.01818181818181818,-0.16071428571428573,8,0.16363636363636364,-0.19230769230769232,1.39
-0.05555555555555555,-0.12727272727272726,4,0.2222222222222222,-0.17647058823529413,1.32
-0.057692307692307696,-0.1509433962264151,5,0.15384615384615385,-0.20833333333333334,1.42
0.13953488372093023,-0.09302325581395349,10,0.0,-0.22,1.77
0.16279069767441862,-0.11627906976744186,12,0.03773584905660377,-0.21568627450980393,1.97
0.20454545454545456,-0.06818181818181818,12,0.03636363636363636,-0.09803921568627451,1.87
0.3488372093023256,-0.29545454545454547,28,0.22,-0.1836734693877551,1.48
0.37209302325581395,-0.27906976744186046,28,0.17647058823529413,-0.18,1.43
0.425,-0.3902439024390244,33,0.24,-0.1836734693877551,1.65
0.2,0.047619047619047616,6,0.375,-0.1,4.06
0.2631578947368421,0.07317073170731707,7,0.3829787234042553,-0.0392156862745098,4.13
0.18604651162790697,0.0,8,0.375,-0.08163265306122448,4.16
-0.10416666666666667,-0.16666666666666666,3,0.17391304347826086,-0.25,1.13
0.0,-0.3018867924528302,16,0.1875,-0.19148936170212766,1.13
-0.0425531914893617,-0.12244897959183673,4,0.2391304347826087,-0.13333333333333333,1.29
0.09523809523809523,0.0,4,0.16326530612244897,-0.08,1.74
0.07317073170731707,0.022727272727272728,2,0.1702127659574468,-0.0425531914893617,1.84
0.10256410256410256,0.04878048780487805,2,0.20408163265306123,-0.06382978723404255,2.35
0.3333333333333333,-0.3783783783783784,26,0.1836734693877551,-0.09090909090909091,2.1
0.3142857142857143,-0.3611111111111111,24,0.14285714285714285,-0.06666666666666667,1.87
0.2777777777777778,-0.3684210526315789,24,0.1568627450980392,-0.11363636363636363,2.03
0.047619047619047616,-0.40476190476190477,19,0.28846153846153844,-0.3829787234042553,4.74
-0.14583333333333334,-0.23404255319148937,4,0.28,-0.3125,4.13
0.0,0.0,0,0.3,-0.32653061224489793,4.77
-0.16326530612244897,-0.18,1,0.2826086956521739,-0.22727272727272727,1.32
-0.1896551724137931,-0.4576271186440678,16,0.2608695652173913,-0.2765957446808511,1.23
-0.14545454545454545,-0.38596491228070173,14,0.30434782608695654,-0.2608695652173913,1.19
0.045454545454545456,0.022222222222222223,1,0.14583333333333334,-0.20454545454545456,1.55
-0.0625,-0.0625,0,0.13725490196078433,-0.14,1.94
-0.12,-0.12,0,0.22448979591836735,-0.2608695652173913,1.71
0.38461538461538464,-0.8157894736842105,46,0.2653061224489796,-0.24,1.65
-0.09615384615384616,-0.39622641509433965,16,0.2127659574468085,-0.2391304347826087,1.39
0.5,-1.1081081081081081,59,0.24489795918367346,-0.24,1.81
